ITALIANO,BRESCIANO,categoria,Bresciano_,Column1
abbacinare,to l'occ,,to l'occ,8
abbagliare,orbera,,orbera,6
abbaiamento,bajament,,bajament,8
abbaiare,baja,,baja,4
abbaiata,bajada,,bajada,6
abbaino,abai,,abai,4
abbaino,luzarol,,luzarol,7
abbandonare,abanduna,,abanduna,8
abbandonato (riferito a luogo),al bandu,,al bandu,8
abbassamento,sbasament,,sbasament,9
abbassare,sbasa,,sbasa,5
abbastanza,ase,,ase,3
abbattere,bota zo,,bota zo,7
abbattifieno,fener,,fener,5
abbecedario,abachi,,abachi,6
abbellire,fa bel,,fa bel,6
abbeveratoio,beadur,,beadur,6
abbeveratoio,biidur,,biidur,6
abbiamo,gom,,gom,3
abboccare,boca,,boca,4
abboccare,aboca,,aboca,5
abbonare,fa bu,,fa bu,5
abbondante soffiata di naso,macagnada,,macagnada,9
abbondanza,brandos,arcaico,brandos,7
abbordare,borda,,borda,5
abbottonare,butuna,,butuna,6
abbozzare,bosa,,bosa,4
abbracciare,brasa,,brasa,5
abbracciarsi,brasas,,brasas,6
abbracciato,brasat,,brasat,6
abbracciata,brasada,,brasada,7
abbracciati,brasacc-sa,,brasacc-sa,10
abbrustolire,brustuli,,brustuli,8
abete,aes,,aes,3
abete bianco,aes,botanica,aes,3
abete bianco,aoes,botanica,aoes,4
abete bianco,aves,botanica,aves,4
abete bianco,razarot,botanica,razarot,7
abete rosso,pagher,botanica,pagher,6
abete rosso,paghera,botanica,paghera,7
abile,sitil,,sitil,5
abilita,spertisia,,spertisia,9
abitare,sta de ca',,sta de ca',10
abituarsi,usas,,usas,4
ITALIANO,BRESCIANO,categoria,bresciano,9
aborto,abord,,abord,5
abrotano,ambrogn mas'cc,botanica,ambrogn mas'cc,14
abrotano di campo,ambrogn bastard,botanica,ambrogn bastard,15
accaduto,capitat,,capitat,7
accalappiacani,ciapaca,,ciapaca,7
accalappiacani,copaca,,copaca,6
accalappiacani,masaca,,masaca,6
Accalappiare,Rocola,figurativo,rocola,6
Accantonato,encantunat,,encantunat,10
Accapigliarsi,Spelocas,,spelocas,8
Accartocciare,enciurcia,,enciurcia,9
Accattivarsi,Mena la cua,figurativo,mena la cua,11
Accattone,Sercot,,sercot,6
Accecare,enorbeser,,enorbeser,9
Accendere,empisa,,empisa,6
Accendino,Machineta de 'mpisa,,machineta de 'mpisa,19
